Game 1: PPO Agent Return = 0.0, All Returns = [0.0, 1.0, 3.0, 2.0], Winner = P2
Game 2: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 0.0, 3.0], Winner = P3
Game 3: PPO Agent Return = 2.0, All Returns = [2.0, 1.0, 0.0, 3.0], Winner = P3
Game 4: PPO Agent Return = 2.0, All Returns = [2.0, 3.0, 0.0, 1.0], Winner = P1
Game 5: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 6: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 7: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
Game 8: PPO Agent Return = 1.0, All Returns = [1.0, 2.0, 3.0, 0.0], Winner = P2
Game 9: PPO Agent Return = 0.0, All Returns = [0.0, 1.0, 3.0, 2.0], Winner = P2
Game 10: PPO Agent Return = 0.0, All Returns = [0.0, 1.0, 2.0, 3.0], Winner = P3
Game 11: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 3.0, 1.0], Winner = P2
Game 12: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 13: PPO Agent Return = 1.0, All Returns = [1.0, 2.0, 0.0, 3.0], Winner = P3
Game 14: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 15: PPO Agent Return = 2.0, All Returns = [2.0, 0.0, 1.0, 3.0], Winner = P3
Game 16: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
Game 17: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 2.0, 0.0], Winner = P1
Game 18: PPO Agent Return = 1.0, All Returns = [1.0, 3.0, 0.0, 2.0], Winner = P1
Game 19: PPO Agent Return = 1.0, All Returns = [1.0, 2.0, 0.0, 3.0], Winner = P3
Game 20: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
Game 21: PPO Agent Return = 1.0, All Returns = [1.0, 0.0, 3.0, 2.0], Winner = P2
Game 22: PPO Agent Return = 0.0, All Returns = [0.0, 1.0, 3.0, 2.0], Winner = P2
Game 23: PPO Agent Return = 3.0, All Returns = [3.0, 1.0, 2.0, 0.0], Winner = P0
Game 24: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
Game 25: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 1.0, 3.0], Winner = P3
Game 26: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 1.0, 2.0], Winner = P1
Game 27: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 1.0, 3.0], Winner = P3
Game 28: PPO Agent Return = 2.0, All Returns = [2.0, 3.0, 1.0, 0.0], Winner = P1
Game 29: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 1.0, 3.0], Winner = P3
Game 30: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
Game 31: PPO Agent Return = 0.0, All Returns = [0.0, 2.0, 1.0, 3.0], Winner = P3
Game 32: PPO Agent Return = 0.0, All Returns = [0.0, 3.0, 2.0, 1.0], Winner = P1
