[2025-09-09 22:59:11] New Training (k1a1)
[2025-09-09 22:59:11] Deck_Size: 64
[2025-09-09 22:59:11] Episodes: 20000
[2025-09-09 22:59:11] Path: /home/wasterix/Multiagent/OpenSpiel_neu/open_spiel/President/models/k1a1/model_17
[2025-09-09 22:59:14] [Population] Initiales Lineup: ['random2', 'single_only', 'random2']
[2025-09-09 22:59:14] [Population] Episode 1: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:14] [Population] Episode 2: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:14] [Population] Episode 3: Lineup -> ['single_only', 'single_only', 'random2']
[2025-09-09 22:59:14] [Population] Episode 4: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:14] [Population] Episode 5: Lineup -> ['max_combo', 'single_only', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 6: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:15] [Population] Episode 7: Lineup -> ['single_only', 'random2', 'random2']
[2025-09-09 22:59:15] [Population] Episode 8: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:15] [Population] Episode 9: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:15] [Population] Episode 10: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 11: Lineup -> ['single_only', 'single_only', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 12: Lineup -> ['max_combo', 'single_only', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 13: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:15] [Population] Episode 14: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:15] [Population] Episode 15: Lineup -> ['random2', 'single_only', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 16: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 17: Lineup -> ['max_combo', 'random2', 'single_only']
[2025-09-09 22:59:15] [Population] Episode 18: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:15] [Population] Episode 19: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 20: Lineup -> ['random2', 'single_only', 'single_only']
[2025-09-09 22:59:15] [Population] Episode 21: Lineup -> ['random2', 'single_only', 'single_only']
[2025-09-09 22:59:15] [Population] Episode 22: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 23: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:15] [Population] Episode 24: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:15] [Population] Episode 25: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:15] [Population] Episode 26: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:15] [Population] Episode 27: Lineup -> ['single_only', 'random2', 'max_combo']
