episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds,eps_per_sec_total,eps_per_sec_window
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,75,0.014739309903234243,0.0030924170278012753,0.0,0.0,0.0,8.450075836037286,59.17106659180919,59.17106659180919
1000,69,0.009863044018857181,0.0022492840653285384,0.0,0.0,0.0,15.58124258404132,64.17973371547555,70.11475368177959
1500,69,0.014477164950221777,0.002535114996135235,0.0,0.0,0.0,22.50681439402979,66.64648198271425,72.19620469155636
2000,71,0.012944196932949126,0.0023580690613016486,0.0,0.0,0.0,29.17506095895078,68.5516990971842,74.98223035577332
2500,71,0.016464586020447314,0.0030028410255908966,0.0,0.0,0.0,35.99971294798888,69.444998175733,73.26380902690867
3000,73,0.012900770059786737,0.002515833009965718,0.0,0.0,0.0,43.09967638703529,69.60609107734328,70.42289784905637
3500,78,0.01361134194303304,0.0026111829793080688,0.0,0.0,0.0,50.05156727193389,69.92788019971961,71.92287800231962
4000,76,39.965657643042505,0.003245432977564633,38.487942876061425,1.4589585869107395,0.0019311800133436918,97.09412700193934,41.19713646449599,10.628673330483798
4500,62,0.010600334964692593,0.0029108610469847918,0.0,0.0,0.0,104.54915320698638,43.04195550097763,67.06884540010084
5000,78,0.011778593994677067,0.00243421399500221,0.0,0.0,0.0,111.66128783300519,44.77827631253671,70.30238125285415
5500,70,0.012415776029229164,0.002459950977936387,0.0,0.0,0.0,118.91190911899321,46.252726415284776,68.95960777406218
6000,89,0.01649074489250779,0.0032666759798303246,0.0,0.0,0.0,126.6227128279861,47.38486378941237,64.84408355731631
6500,73,0.011971207917667925,0.0029781199991703033,0.0,0.0,0.0,133.9171811779961,48.537461308721255,68.54509143210075
7000,76,0.013597761979326606,0.00263968703802675,0.0,0.0,0.0,141.06203981197905,49.62355577255418,69.9803908816138
7500,78,0.01171363692265004,0.0027055080281570554,0.0,0.0,0.0,148.46110056503676,50.51828372183227,67.57614468746884
8000,88,41.63806686492171,0.003088910016231239,39.8551047159126,1.7672127400292084,0.0014752200804650784,197.44071672996506,40.518491486947994,10.208328262850362
8500,78,0.016239721095189452,0.003478243015706539,0.0,0.0,0.0,204.47910474298988,41.569039588097105,71.03899345627582
9000,77,0.012520681018941104,0.0026253480464220047,0.0,0.0,0.0,211.64198362501338,42.52464395696731,69.8043354125165
9500,72,0.012197599979117513,0.00254190806299448,0.0,0.0,0.0,219.26303465897217,43.326956660869435,65.6077485601448
10000,74,0.013616682961583138,0.0027867829194292426,0.0,0.0,0.0,226.58643624698743,44.13326837048462,68.27428401826955
10500,72,0.0114485650556162,0.0027209839317947626,0.0,0.0,0.0,233.79642167093698,44.91086700539201,69.34826779803748
11000,74,0.024657221976667643,0.0072751339757815,0.0,0.0,0.0,241.1565874509979,45.61351657970014,67.93325244854216
11500,73,0.012404826004058123,0.002697418909519911,0.0,0.0,0.0,248.77038641599938,46.227367194620356,65.67023929819545
12000,70,43.37715505599044,0.0029732570983469486,41.17473413597327,2.18906400189735,0.0015680619981139898,299.3669707890367,40.08458237183545,9.882089990771146
12500,86,0.01724706299137324,0.0036320870276540518,0.0,0.0,0.0,308.23593872901984,40.55335030542676,56.37634540834201
13000,71,0.01732416800223291,0.0045481069246307015,0.0,0.0,0.0,316.5170362360077,41.07203882165345,60.37847031484457
13500,86,0.01683149696327746,0.004828852019272745,0.0,0.0,0.0,325.1322886699345,41.52156051687882,58.03660471177882
14000,70,0.01404572802130133,0.00415055500343442,0.0,0.0,0.0,333.5337806600146,41.97475881542207,59.5132389092753
14500,85,0.013339422992430627,0.0028040289180353284,0.0,0.0,0.0,341.7865539119812,42.42413820566541,60.5856946185761
15000,68,0.013400527997873724,0.002939864993095398,0.0,0.0,0.0,348.54080260999035,43.03656813685793,74.0274784592068
15500,74,0.012825452024117112,0.0029158919351175427,0.0,0.0,0.0,355.343272235943,43.61979305945102,73.50271702682942
16000,69,34.86908366589341,0.0030713280430063605,32.57917208899744,2.2767470729304478,0.0012372899800539017,397.22741821804084,40.27919339449396,11.93769117827329
16500,73,0.013306351960636675,0.0032460070215165615,0.0,0.0,0.0,403.993203007034,40.842271298590916,73.90125692638307
17000,61,0.015075925970450044,0.003272858099080622,0.0,0.0,0.0,411.4517867009854,41.31711308463565,67.03685585850317
17500,66,0.012160627986304462,0.00266575301066041,0.0,0.0,0.0,418.5009051859379,41.8159191130658,70.93085483913102
18000,82,0.013512709061615169,0.002618356025777757,0.0,0.0,0.0,425.95742351096123,42.257744569010434,67.05542428857828
18500,79,0.012723690015263855,0.0031701959669589996,0.0,0.0,0.0,433.06371513195336,42.718887206616,70.36018596858455
19000,70,0.013529044925235212,0.0028303309809416533,0.0,0.0,0.0,440.32900187699124,43.1495538994903,68.8204082710837
19500,60,0.011164568015374243,0.002884643035940826,0.0,0.0,0.0,447.2483261859743,43.599939582315024,72.26139109434028
20000,76,39.12506490701344,0.002964091021567583,36.59453084995039,2.5152644319459796,0.0012649880954995751,493.25301052595023,40.54714228439117,10.868458444470255
