episode,ep_length,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,epsilon
1,34.0,7.395632565021515e-06,0.0,0.0,0.0,1.0
2,32.0,5.235197022557259e-06,0.0,0.0,0.0,1.0
3,34.0,3.8191210478544235e-06,2.0,0.0,0.0,1.0
4,30.0,5.044043064117432e-06,0.0,0.0,0.0,1.0
5,28.0,1.032138243317604e-06,3.0,0.0,0.0,1.0
6,31.0,4.17511910200119e-06,0.0,0.0,0.0,1.0
7,31.0,3.55718657374382e-06,1.0,0.0,0.0,1.0
8,33.0,5.613081157207489e-06,0.0,0.0,0.0,1.0
9,28.0,2.7781352400779724e-06,2.0,0.0,0.0,1.0
10,30.0,3.8798898458480835e-06,1.0,0.0,0.0,1.0
11,30.0,3.3981632441282272e-06,1.0,0.0,0.0,1.0
12,29.0,9.193317964673042e-06,3.0,0.0,0.0,1.0
13,36.0,4.138099029660225e-06,2.0,0.0,0.0,1.0
14,35.0,1.8510036170482635e-06,3.0,0.0,0.0,1.0
15,31.0,4.434026777744293e-06,3.0,0.0,0.0,1.0
16,33.0,0.01571062090806663,0.0,0.0,0.0,0.9976025184885671
17,32.0,0.014772446360439062,0.0,0.0,0.0,0.9943153638683679
18,31.0,0.012597505236044526,1.0,0.0,0.0,0.9916339317136098
19,28.0,0.014437370002269745,0.0,0.0,0.0,0.9889597307439081
20,30.0,0.011914485367015004,1.0,0.0,0.0,0.9862927414584758
21,38.0,0.020820144098252058,0.0,0.0,0.0,0.9827479403134837
22,35.0,0.007972220657393336,3.0,0.0,0.0,0.9809803202000744
23,37.0,0.013266335939988494,1.0,0.0,0.0,0.9780413490330633
24,32.0,0.015905043575912714,0.0,0.0,0.0,0.9745262039365118
25,31.0,0.011909895809367299,1.0,0.0,0.0,0.9718981384415531
26,34.0,0.014787180116400123,0.0,0.0,0.0,0.9686956811532723
27,28.0,0.013225276255980134,0.0,0.0,0.0,0.9657935141903946
28,28.0,0.004071091767400503,3.0,0.0,0.0,0.9649245607657957
29,31.0,0.003961828071624041,3.0,0.0,0.0,0.9640563891646851
30,28.0,0.008041353896260262,2.0,0.0,0.0,0.962322388619841
31,28.0,0.005342317279428244,3.0,0.0,0.0,0.9611681213036641
32,32.0,0.003914770903065801,3.0,0.0,0.0,0.9603033294839322
33,30.0,0.013430638937279582,0.0,0.0,0.0,0.957426305614215
34,33.0,0.013279901118949056,0.0,0.0,0.0,0.954557901173477
35,31.0,0.010742259211838245,2.0,0.0,0.0,0.9522693662538216
36,36.0,0.01210454455576837,2.0,0.0,0.0,0.9497013221589079
37,32.0,0.003945383941754699,3.0,0.0,0.0,0.94884684736268
38,29.0,0.01098539587110281,1.0,0.0,0.0,0.9465720045889466
39,30.0,0.004101367201656103,3.0,0.0,0.0,0.9457203453337004
40,32.0,0.013390234904363751,1.0,0.0,0.0,0.9428870114025724
41,33.0,0.010878011817112565,2.0,0.0,0.0,0.9406264572253645
42,32.0,0.011980593902990222,1.0,0.0,0.0,0.9380898112881967
43,33.0,0.015595643781125546,1.0,0.0,0.0,0.9352793380802522
44,29.0,0.0064823131542652845,3.0,0.0,0.0,0.9341575078243961
45,34.0,0.004847781034186482,3.0,0.0,0.0,0.9333170182646591
46,29.0,0.014588016318157315,0.0,0.0,0.0,0.9308000841466733
47,34.0,0.012991370866075158,2.0,0.0,0.0,0.9285685081540915
48,32.0,0.017763831187039614,0.0,0.0,0.0,0.9255088243570071
49,35.0,0.012977685779333115,2.0,0.0,0.0,0.9232899340619432
50,31.0,0.010908704251050949,2.0,0.0,0.0,0.9213527693461414
51,30.0,0.0092285699211061,2.0,0.0,0.0,0.9196955776901388
52,34.0,0.012375240912660956,2.0,0.0,0.0,0.91749062454648
53,29.0,0.015372092369943857,0.0,0.0,0.0,0.9147418655387607
54,32.0,0.01065967371687293,2.0,0.0,0.0,0.9128226356190836
55,31.0,0.016769905807450414,0.0,0.0,0.0,0.9098148353294014
56,37.0,0.014247143175452948,1.0,0.0,0.0,0.9068169459054556
57,33.0,0.014170232228934765,0.0,0.0,0.0,0.9038289346904035
58,33.0,0.010249529965221882,2.0,0.0,0.0,0.9016620215299852
59,27.0,0.0058512387331575155,3.0,0.0,0.0,0.9005805139042687
60,38.0,0.014561929041519761,1.0,0.0,0.0,0.8976130520722487
61,34.0,0.0063944011926651,3.0,0.0,0.0,0.8962674401035682
62,29.0,0.016358555760234594,0.0,0.0,0.0,0.8935822647640077
63,32.0,0.01415345910936594,1.0,0.0,0.0,0.8911724858299502
64,30.0,0.011253944132477045,2.0,0.0,0.0,0.8893027070838003
65,28.0,0.00324334017932415,3.0,0.0,0.0,0.8887692054967937
66,31.0,0.017260404070839286,0.0,0.0,0.0,0.8858406625691297
67,35.0,0.018407866824418306,0.0,0.0,0.0,0.8826568928190733
68,33.0,0.009425380965694785,2.0,0.0,0.0,0.8808049807318203
69,35.0,0.009954644599929452,2.0,0.0,0.0,0.8789569541615861
70,29.0,0.008342242799699306,3.0,0.0,0.0,0.8776393095543198
71,35.0,0.017903846921399236,0.0,0.0,0.0,0.8747474402398352
72,32.0,0.014666471164673567,1.0,0.0,0.0,0.8723884543498597
73,30.0,0.012524605263024569,1.0,0.0,0.0,0.8702969191597684
74,38.0,0.017417662777006626,1.0,0.0,0.0,0.8674292434214438
75,34.0,0.012405653251335025,2.0,0.0,0.0,0.8653495978478647
76,33.0,0.01762948208488524,0.0,0.0,0.0,0.8624982238026561
77,35.0,0.011530684772878885,3.0,0.0,0.0,0.8606886068394973
78,31.0,0.017294979887083173,0.0,0.0,0.0,0.8578525910134631
79,35.0,0.01627416000701487,1.0,0.0,0.0,0.855282504765433
80,36.0,0.014277716167271137,1.0,0.0,0.0,0.852976011178974
81,30.0,0.010168955661356449,2.0,0.0,0.0,0.8511863728743391
82,34.0,0.010827665217220783,2.0,0.0,0.0,0.849145669282589
83,31.0,0.0065251681953668594,3.0,0.0,0.0,0.8478727147805327
84,28.0,0.005282747792080045,3.0,0.0,0.0,0.8468557252824988
85,32.0,0.006536060944199562,3.0,0.0,0.0,0.8455862036361113
86,31.0,0.014001132920384407,1.0,0.0,0.0,0.8435589263465708
87,38.0,0.018920292146503925,0.0,0.0,0.0,0.8405271199443868
88,32.0,0.016527687199413776,0.0,0.0,0.0,0.8377575373155118
89,28.0,0.009790475945919752,2.0,0.0,0.0,0.8362507042687323
90,35.0,0.01611913344822824,1.0,0.0,0.0,0.8337453362632483
91,31.0,0.009777511702850461,3.0,0.0,0.0,0.8322457197640575
92,33.0,0.014567965408787131,1.0,0.0,0.0,0.8300013509101429
93,32.0,0.01107387081719935,2.0,0.0,0.0,0.8282599159916691
94,30.0,0.01580527238547802,0.0,0.0,0.0,0.8255307544677961
95,30.0,0.005216947989538312,3.0,0.0,0.0,0.8247879996597896
96,31.0,0.01369018224067986,0.0,0.0,0.0,0.8223169733812985
97,32.0,0.009519483894109726,2.0,0.0,0.0,0.8205916611394212
98,32.0,0.015493749640882015,0.0,0.0,0.0,0.8178877669328406
99,31.0,0.011767505202442408,1.0,0.0,0.0,0.815682118064352
100,34.0,0.010492247063666582,3.0,0.0,0.0,0.8142149909823264
101,33.0,0.0050025382079184055,3.0,0.0,0.0,0.8134824173065062
102,32.0,0.012898892862722278,2.0,0.0,0.0,0.8115321082511381
103,29.0,0.00643989397212863,3.0,0.0,0.0,0.8105587078609364
104,36.0,0.013402600074186921,2.0,0.0,0.0,0.8086154083449089
105,38.0,0.017393968999385834,1.0,0.0,0.0,0.8059509765434212
106,28.0,0.007879018085077405,3.0,0.0,0.0,0.804742775216911
107,29.0,0.012627655873075128,1.0,0.0,0.0,0.8028134192918692
108,35.0,0.01574766100384295,1.0,0.0,0.0,0.8004082278285918
109,29.0,0.007873208960518241,3.0,0.0,0.0,0.7992083356381763
110,30.0,0.007847731234505773,3.0,0.0,0.0,0.7980102422064674
111,29.0,0.012309506768360734,1.0,0.0,0.0,0.7960970274048432
112,30.0,0.0053259318228811026,3.0,0.0,0.0,0.7951421407783804
113,30.0,0.01080369926057756,2.0,0.0,0.0,0.7932358021969032
114,31.0,0.016292023239657283,0.0,0.0,0.0,0.7906220470351286
