opponent,episode,p0,p1,p2,p3
single_only,5000,0.415,0.3555,0.1945,0.035
max_combo,5000,0.1635,0.299,0.3085,0.229
random2,5000,0.4775,0.357,0.1375,0.028
single_only,10000,0.5265,0.3135,0.1475,0.0125
max_combo,10000,0.2765,0.339,0.2575,0.127
random2,10000,0.6195,0.283,0.0905,0.007
single_only,15000,0.539,0.346,0.1065,0.0085
max_combo,15000,0.3295,0.3125,0.2275,0.1305
random2,15000,0.6575,0.273,0.061,0.0085
single_only,20000,0.4585,0.3905,0.1375,0.0135
max_combo,20000,0.3395,0.3355,0.215,0.11
random2,20000,0.585,0.3235,0.0795,0.012
single_only,25000,0.4555,0.405,0.1255,0.014
max_combo,25000,0.3295,0.335,0.222,0.1135
random2,25000,0.586,0.307,0.0915,0.0155
single_only,30000,0.76,0.19,0.047,0.003
max_combo,30000,0.4925,0.2825,0.144,0.081
random2,30000,0.8005,0.173,0.023,0.0035
single_only,35000,0.7505,0.198,0.047,0.0045
max_combo,35000,0.489,0.2915,0.151,0.0685
random2,35000,0.776,0.1905,0.03,0.0035
single_only,40000,0.6965,0.245,0.049,0.0095
max_combo,40000,0.5635,0.2715,0.1175,0.0475
random2,40000,0.831,0.143,0.0225,0.0035
single_only,45000,0.77,0.2015,0.025,0.0035
max_combo,45000,0.553,0.2795,0.129,0.0385
random2,45000,0.8285,0.147,0.0235,0.001
single_only,50000,0.768,0.1915,0.031,0.0095
max_combo,50000,0.5615,0.2925,0.0945,0.0515
random2,50000,0.8205,0.155,0.0205,0.004
single_only,55000,0.747,0.2125,0.034,0.0065
max_combo,55000,0.514,0.293,0.138,0.055
random2,55000,0.802,0.172,0.024,0.002
single_only,60000,0.7645,0.205,0.0255,0.005
max_combo,60000,0.546,0.279,0.125,0.05
random2,60000,0.8165,0.1585,0.0215,0.0035
single_only,65000,0.7315,0.214,0.0475,0.007
max_combo,65000,0.556,0.2695,0.1235,0.051
random2,65000,0.833,0.145,0.0175,0.0045
single_only,70000,0.7715,0.1815,0.0375,0.0095
max_combo,70000,0.575,0.28,0.099,0.046
random2,70000,0.848,0.134,0.0155,0.0025
single_only,75000,0.738,0.2275,0.0285,0.006
max_combo,75000,0.5185,0.289,0.1265,0.066
random2,75000,0.8285,0.144,0.021,0.0065
single_only,80000,0.7995,0.168,0.0285,0.004
max_combo,80000,0.6015,0.262,0.0865,0.05
random2,80000,0.8475,0.1345,0.013,0.005
single_only,85000,0.658,0.276,0.0555,0.0105
max_combo,85000,0.529,0.2535,0.1195,0.098
random2,85000,0.813,0.147,0.031,0.009
single_only,90000,0.7855,0.181,0.0255,0.008
max_combo,90000,0.5695,0.263,0.1045,0.063
random2,90000,0.823,0.1445,0.027,0.0055
single_only,95000,0.788,0.165,0.0365,0.0105
max_combo,95000,0.5615,0.269,0.0985,0.071
random2,95000,0.8325,0.1455,0.0175,0.0045
single_only,100000,0.7855,0.182,0.0255,0.007
max_combo,100000,0.5655,0.28,0.0975,0.057
random2,100000,0.827,0.141,0.0245,0.0075
