episode,wall_s,steps,p0_transitions,train_calls,epsilon
1,0.001422,70,13,13,1.0
2,0.001509,77,22,22,1.0
3,0.001558,84,22,22,1.0
4,0.028236,81,23,23,0.918316468354365
5,0.030011,80,23,23,0.8183201210226743
6,0.032811,71,23,23,0.7292124703704616
7,0.04066,87,24,24,0.6465587967553006
8,0.045149,77,26,26,0.567555222460375
9,0.03374,76,22,22,0.5082950737585841
10,0.027676,86,20,20,0.4598090507939749
11,0.034812,78,23,23,0.40974000909221303
12,0.030178,72,21,21,0.36880183088056995
13,0.033597,84,25,25,0.3253644408394192
14,0.044014,82,25,25,0.28704309604425327
15,0.031698,76,22,22,0.2570720625972084
16,0.027861,83,19,19,0.23371867538818816
17,0.034088,84,22,22,0.20931540516921554
18,0.034712,74,22,22,0.18746015382974018
19,0.033388,76,21,21,0.16873052768933355
20,0.025456,60,19,19,0.1534024157688821
21,0.034506,81,23,23,0.13669828187021155
22,0.039432,83,20,20,0.12365869841532712
23,0.034719,68,21,21,0.11130363979080501
24,0.022302,73,17,17,0.10221196540767843
25,0.0255,75,19,19,0.1
26,0.022337,72,17,17,0.1
27,0.021318,63,17,17,0.1
28,0.027843,84,21,21,0.1
29,0.026441,71,20,20,0.1
30,0.023776,61,19,19,0.1
31,0.019278,74,15,15,0.1
32,0.028274,72,21,21,0.1
33,0.030956,72,22,22,0.1
34,0.02827,77,22,22,0.1
35,0.02341,73,16,16,0.1
36,0.027648,69,18,18,0.1
37,0.035386,75,23,23,0.1
38,0.026168,76,17,17,0.1
39,0.034784,81,22,22,0.1
40,0.026242,72,16,16,0.1
41,0.030638,76,19,19,0.1
42,0.026059,77,16,16,0.1
43,0.032697,71,21,21,0.1
44,0.023498,66,15,15,0.1
45,0.028806,69,19,19,0.1
46,0.03721,92,25,25,0.1
47,0.033902,77,23,23,0.1
48,0.031369,76,21,21,0.1
49,0.028719,79,19,19,0.1
50,0.032028,68,20,20,0.1
51,0.035065,73,23,23,0.1
52,0.025986,75,20,20,0.1
53,0.022242,67,18,18,0.1
54,0.03015,86,23,23,0.1
55,0.034842,77,22,22,0.1
56,0.029483,78,19,19,0.1
57,0.023208,68,15,15,0.1
58,0.030342,73,20,20,0.1
59,0.030009,69,20,20,0.1
60,0.030263,75,20,20,0.1
61,0.029655,70,19,19,0.1
62,0.026492,69,17,17,0.1
63,0.023032,57,15,15,0.1
64,0.027779,71,18,18,0.1
65,0.01735,57,11,11,0.1
66,0.036403,85,24,24,0.1
67,0.027695,74,18,18,0.1
68,0.031472,68,20,20,0.1
69,0.035534,84,22,22,0.1
70,0.030818,79,22,22,0.1
71,0.029068,77,23,23,0.1
72,0.014237,61,11,11,0.1
73,0.028535,85,24,24,0.1
74,0.021641,77,18,18,0.1
75,0.025106,76,21,21,0.1
76,0.025864,77,21,21,0.1
77,0.027565,67,19,19,0.1
78,0.030224,76,21,21,0.1
79,0.031532,75,22,22,0.1
80,0.031103,82,20,20,0.1
81,0.03359,75,20,20,0.1
82,0.026346,63,21,21,0.1
83,0.029622,78,24,24,0.1
84,0.032422,77,21,21,0.1
85,0.030675,66,20,20,0.1
86,0.01897,61,12,12,0.1
87,0.031105,81,20,20,0.1
88,0.036336,83,23,23,0.1
89,0.028176,63,18,18,0.1
90,0.032511,73,21,21,0.1
91,0.028674,68,19,19,0.1
92,0.024282,66,16,16,0.1
93,0.024213,64,16,16,0.1
94,0.032337,72,22,22,0.1
95,0.033897,84,23,23,0.1
96,0.031265,68,21,21,0.1
97,0.02987,73,20,20,0.1
98,0.026823,79,18,18,0.1
99,0.033036,78,22,22,0.1
100,0.025532,73,17,17,0.1
101,0.033365,71,22,22,0.1
102,0.029951,70,20,20,0.1
103,0.029756,69,19,19,0.1
104,0.033601,83,22,22,0.1
105,0.033497,76,22,22,0.1
106,0.028403,78,19,19,0.1
107,0.032802,82,22,22,0.1
108,0.029905,80,20,20,0.1
109,0.024197,67,16,16,0.1
110,0.031586,70,21,21,0.1
111,0.03359,76,24,24,0.1
112,0.026667,66,20,20,0.1
113,0.029426,78,22,22,0.1
114,0.028275,66,22,22,0.1
115,0.030356,83,24,24,0.1
116,0.023859,71,19,19,0.1
117,0.030278,81,24,24,0.1
118,0.024382,67,20,20,0.1
119,0.024728,68,20,20,0.1
120,0.035385,76,20,20,0.1
121,0.087888,75,23,23,0.1
122,0.0567,85,22,22,0.1
123,0.03556,78,26,26,0.1
124,0.032937,82,24,24,0.1
125,0.033388,85,24,24,0.1
126,0.02823,68,22,22,0.1
127,0.014446,66,11,11,0.1
128,0.025764,75,20,20,0.1
129,0.02989,62,21,21,0.1
130,0.035581,70,16,16,0.1
131,0.029372,66,15,15,0.1
132,0.042242,66,21,21,0.1
133,0.029122,68,14,14,0.1
134,0.037294,69,20,20,0.1
135,0.036484,81,22,22,0.1
136,0.030147,76,22,22,0.1
137,0.018927,63,14,14,0.1
138,0.027995,75,21,21,0.1
139,0.017566,66,13,13,0.1
140,0.029773,67,18,18,0.1
141,0.044326,79,25,25,0.1
142,0.033423,75,18,18,0.1
143,0.034476,75,18,18,0.1
144,0.040414,74,21,21,0.1
145,0.034709,65,22,22,0.1
146,0.030077,69,20,20,0.1
147,0.037177,79,25,25,0.1
148,0.023078,65,15,15,0.1
149,0.043365,73,21,21,0.1
150,0.036325,68,22,22,0.1
151,0.040405,79,23,23,0.1
152,0.043998,69,22,22,0.1
153,0.029683,68,17,17,0.1
154,0.034693,85,22,22,0.1
155,0.035121,71,23,23,0.1
156,0.030878,77,22,22,0.1
157,0.03054,74,23,23,0.1
158,0.024285,65,19,19,0.1
159,0.030985,70,16,16,0.1
160,0.036185,69,19,19,0.1
161,0.038339,77,19,19,0.1
162,0.034383,81,22,22,0.1
163,0.027147,75,21,21,0.1
164,0.029592,82,23,23,0.1
165,0.026438,85,21,21,0.1
166,0.015307,65,12,12,0.1
167,0.02699,81,22,22,0.1
168,0.024779,77,20,20,0.1
169,0.035921,76,23,23,0.1
170,0.030195,73,17,17,0.1
171,0.041489,75,22,22,0.1
172,0.021812,70,13,13,0.1
173,0.034784,64,20,20,0.1
174,0.028726,83,22,22,0.1
175,0.025225,66,18,18,0.1
176,0.035735,65,23,23,0.1
177,0.026663,65,17,17,0.1
