episode,wall_s,steps,p0_transitions,p1_transitions,p2_transitions,p3_transitions,p0_train_calls,p1_train_calls,p2_train_calls,p3_train_calls,eps_p0,eps_p1,eps_p2,eps_p3
1,0.004533,142,33,35,36,38,33,35,36,38,1.0,1.0,1.0,1.0
2,0.009913,95,24,27,30,14,24,27,30,14,1.0,1.0,0.985074875,1.0
3,0.108454,92,28,26,21,17,28,26,21,17,0.8955869907338783,0.8822202429488013,0.8866535105013078,0.9703725093562657
4,0.155563,121,28,31,34,28,28,31,34,28,0.778312557068642,0.7552531090661897,0.7477194593032545,0.8433051360508336
5,0.13173,108,25,27,29,27,25,27,29,27,0.6866430931872001,0.6596532430440636,0.6465587967553006,0.736559652908221
6,0.112971,95,28,25,24,18,28,25,24,18,0.5967292370047992,0.5819594443402982,0.5732736268885887,0.6730128848950395
7,0.131243,99,27,21,25,26,27,21,25,26,0.5211953074858876,0.5238143793828016,0.5057535983897912,0.5907768628656763
8,0.11603,87,26,21,16,24,26,21,16,24,0.457510005540005,0.47147873742168567,0.46677573701590436,0.5238143793828016
9,0.096469,71,21,15,17,18,21,15,17,18,0.4117990041127769,0.43732904629000013,0.4286478463299511,0.47862223409330756
10,0.113065,87,24,25,16,22,24,25,16,22,0.36512303261753626,0.3858205374665315,0.39561243860243744,0.4286478463299511
11,0.098014,66,12,15,17,22,12,15,17,22,0.3438081748424137,0.3578751580867638,0.3632974174544486,0.38389143477919885
12,0.117758,87,19,21,22,25,19,21,22,25,0.3125753549412418,0.322118930542046,0.3253644408394192,0.3386767948568688
13,0.135072,90,23,22,18,27,23,22,18,27,0.27853872940185365,0.2884855236625661,0.29729358661854943,0.29580711868545667
14,0.123007,91,26,23,25,17,26,23,25,17,0.24450384299593592,0.2570720625972084,0.26227842021373715,0.27164454854530906
15,0.118348,89,22,22,22,23,22,22,22,23,0.2189744609715989,0.23023039494318503,0.23489314109365644,0.24206491716205145
16,0.104942,74,21,19,13,21,21,19,13,21,0.19709615934585656,0.20931540516921554,0.22007483514733558,0.2178795886667409
17,0.11679,81,23,18,20,20,23,18,20,20,0.1756341724525918,0.1912566947289212,0.19908200231898848,0.19709615934585656
18,0.103231,70,20,18,14,18,20,18,14,18,0.15888051309497406,0.17475600159032884,0.18559023879528855,0.1800916657318127
19,0.107293,82,25,16,17,24,25,16,17,24,0.14016760486247823,0.16128775296900558,0.17043057265153258,0.15967890763313974
20,0.11169,89,20,21,26,22,20,21,26,22,0.12679708435358925,0.1451730787173275,0.14960551470448571,0.14300635237083656
21,0.104795,81,15,20,24,22,15,20,24,22,0.1176130407830293,0.1313250884614265,0.13264825480308728,0.12807462877562611
22,0.103516,82,24,16,22,20,24,16,22,20,0.1042820154910064,0.12120401149972035,0.11879805134519765,0.11585765144771248
23,0.079719,64,20,15,12,17,20,15,12,17,0.1,0.11242507996344034,0.11186295456362313,0.1063939893092943
24,0.088124,68,16,13,19,20,16,13,19,20,0.1,0.10533270926593409,0.10170090558064004,0.1
25,0.104735,75,14,21,20,20,14,21,20,20,0.1,0.1,0.1,0.1
26,0.095074,73,17,18,22,16,17,18,22,16,0.1,0.1,0.1,0.1
27,0.118688,79,20,15,22,22,20,15,22,22,0.1,0.1,0.1,0.1
28,0.118373,79,17,20,23,19,17,20,23,19,0.1,0.1,0.1,0.1
29,0.106909,71,21,17,21,12,21,17,21,12,0.1,0.1,0.1,0.1
30,0.125863,83,23,18,20,22,23,18,20,22,0.1,0.1,0.1,0.1
31,0.137378,79,18,24,21,16,18,24,21,16,0.1,0.1,0.1,0.1
32,0.164008,90,22,21,25,22,22,21,25,22,0.1,0.1,0.1,0.1
33,0.137654,86,21,21,25,19,21,21,25,19,0.1,0.1,0.1,0.1
34,0.150524,83,19,20,21,23,19,20,21,23,0.1,0.1,0.1,0.1
35,0.121294,69,11,17,21,20,11,17,21,20,0.1,0.1,0.1,0.1
36,0.132973,80,18,22,24,16,18,22,24,16,0.1,0.1,0.1,0.1
