episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon_p0
1,92.0,1.0,0.0,0.0,1.5,0.0,0.0,1.0
2,127.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
3,103.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
4,113.0,1.0,0.0,0.0,1.5,0.0,0.0,1.0
5,113.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9985008997300406
6,99.0,1.0,0.0,0.0,1.5,0.0,0.0,0.990741728889455
7,96.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9851097226602945
8,110.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9765751669826963
9,112.0,0.0,0.0,0.0,1.5,0.0,0.0,0.967243509196147
10,113.0,3.0,0.0,0.0,1.5,0.0,0.0,0.960879770867273
11,123.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9522693662538216
12,116.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9431699623912897
13,139.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9335970973938772
14,126.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9238441574104151
15,105.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9144674429790991
16,122.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9076335710828719
17,135.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8976130520722487
18,119.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8890359162716752
19,115.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8805407392376008
20,134.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8708193323854597
21,123.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8619808024932146
22,111.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8545129814143279
23,105.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8471098582399708
24,106.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8405271199443868
25,105.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8337453362632483
26,115.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8272664512633885
27,111.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8200993799959871
28,118.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8122629255951148
29,120.0,1.0,0.0,0.0,1.5,0.0,0.0,0.804742775216911
30,95.0,1.0,0.0,0.0,1.5,0.0,0.0,0.7987288825655436
31,132.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7918090481930309
32,113.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7868355879849099
33,110.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7790831904410223
34,115.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7711757522260305
35,126.0,2.0,0.0,0.0,1.5,0.0,0.0,0.76426527762133
36,89.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7599207076100121
37,130.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7526592901297386
38,116.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7461385823647939
39,108.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7394524648226698
40,115.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7341467347291437
