episode,ep_length,ep_env_return,ep_shaping_return,ep_final_bonus
1,148.0,0.0,0.0,0.0
2,122.0,0.0,0.0,0.0
3,142.0,3.0,0.0,0.0
4,126.0,0.0,0.0,0.0
5,94.0,0.0,0.0,0.0
6,100.0,3.0,0.0,0.0
7,105.0,2.0,0.0,0.0
8,130.0,0.0,0.0,0.0
9,102.0,1.0,0.0,0.0
10,134.0,2.0,0.0,0.0
11,116.0,3.0,0.0,0.0
12,136.0,2.0,0.0,0.0
13,118.0,0.0,0.0,0.0
14,113.0,0.0,0.0,0.0
15,100.0,1.0,0.0,0.0
16,110.0,3.0,0.0,0.0
17,119.0,0.0,0.0,0.0
18,124.0,2.0,0.0,0.0
19,113.0,0.0,0.0,0.0
20,130.0,3.0,0.0,0.0
21,114.0,3.0,0.0,0.0
22,111.0,3.0,0.0,0.0
23,105.0,3.0,0.0,0.0
24,111.0,3.0,0.0,0.0
25,129.0,0.0,0.0,0.0
26,123.0,2.0,0.0,0.0
27,114.0,1.0,0.0,0.0
28,130.0,2.0,0.0,0.0
29,122.0,3.0,0.0,0.0
30,118.0,1.0,0.0,0.0
31,105.0,3.0,0.0,0.0
32,125.0,2.0,0.0,0.0
33,106.0,2.0,0.0,0.0
34,129.0,2.0,0.0,0.0
35,135.0,1.0,0.0,0.0
36,141.0,3.0,0.0,0.0
37,118.0,0.0,0.0,0.0
38,109.0,2.0,0.0,0.0
39,118.0,3.0,0.0,0.0
40,98.0,1.0,0.0,0.0
41,115.0,0.0,0.0,0.0
42,119.0,1.0,0.0,0.0
43,141.0,0.0,0.0,0.0
44,97.0,3.0,0.0,0.0
45,99.0,3.0,0.0,0.0
46,131.0,3.0,0.0,0.0
47,112.0,3.0,0.0,0.0
48,119.0,0.0,0.0,0.0
49,134.0,3.0,0.0,0.0
50,130.0,0.0,0.0,0.0
51,122.0,1.0,0.0,0.0
52,114.0,3.0,0.0,0.0
53,106.0,1.0,0.0,0.0
54,124.0,0.0,0.0,0.0
55,131.0,1.0,0.0,0.0
56,107.0,1.0,0.0,0.0
57,121.0,2.0,0.0,0.0
58,119.0,0.0,0.0,0.0
59,104.0,2.0,0.0,0.0
60,102.0,3.0,0.0,0.0
61,125.0,3.0,0.0,0.0
62,138.0,2.0,0.0,0.0
63,109.0,0.0,0.0,0.0
64,116.0,2.0,0.0,0.0
65,127.0,0.0,0.0,0.0
66,131.0,3.0,0.0,0.0
67,141.0,1.0,0.0,0.0
68,119.0,0.0,0.0,0.0
69,104.0,3.0,0.0,0.0
70,98.0,3.0,0.0,0.0
71,108.0,2.0,0.0,0.0
72,97.0,0.0,0.0,0.0
73,128.0,0.0,0.0,0.0
74,127.0,0.0,0.0,0.0
75,142.0,1.0,0.0,0.0
76,117.0,0.0,0.0,0.0
77,114.0,0.0,0.0,0.0
78,122.0,0.0,0.0,0.0
79,135.0,0.0,0.0,0.0
80,113.0,0.0,0.0,0.0
81,133.0,0.0,0.0,0.0
82,112.0,2.0,0.0,0.0
83,135.0,2.0,0.0,0.0
84,119.0,1.0,0.0,0.0
85,126.0,2.0,0.0,0.0
86,149.0,1.0,0.0,0.0
87,102.0,1.0,0.0,0.0
88,152.0,1.0,0.0,0.0
89,124.0,1.0,0.0,0.0
90,137.0,0.0,0.0,0.0
91,120.0,3.0,0.0,0.0
92,111.0,0.0,0.0,0.0
93,139.0,2.0,0.0,0.0
94,112.0,3.0,0.0,0.0
95,118.0,1.0,0.0,0.0
96,140.0,1.0,0.0,0.0
97,102.0,0.0,0.0,0.0
98,106.0,1.0,0.0,0.0
99,125.0,1.0,0.0,0.0
100,136.0,2.0,0.0,0.0
101,124.0,2.0,0.0,0.0
102,118.0,2.0,0.0,0.0
103,147.0,3.0,0.0,0.0
104,126.0,0.0,0.0,0.0
105,130.0,0.0,0.0,0.0
106,143.0,3.0,0.0,0.0
107,136.0,3.0,0.0,0.0
108,102.0,2.0,0.0,0.0
109,133.0,1.0,0.0,0.0
110,130.0,1.0,0.0,0.0
111,103.0,2.0,0.0,0.0
112,113.0,2.0,0.0,0.0
113,114.0,2.0,0.0,0.0
114,150.0,1.0,0.0,0.0
115,106.0,3.0,0.0,0.0
116,118.0,1.0,0.0,0.0
117,119.0,2.0,0.0,0.0
118,106.0,3.0,0.0,0.0
119,134.0,3.0,0.0,0.0
120,111.0,0.0,0.0,0.0
121,106.0,3.0,0.0,0.0
122,110.0,0.0,0.0,0.0
123,108.0,0.0,0.0,0.0
124,112.0,2.0,0.0,0.0
125,96.0,2.0,0.0,0.0
126,111.0,3.0,0.0,0.0
127,113.0,1.0,0.0,0.0
128,128.0,0.0,0.0,0.0
129,139.0,2.0,0.0,0.0
130,105.0,2.0,0.0,0.0
131,115.0,3.0,0.0,0.0
132,110.0,2.0,0.0,0.0
133,118.0,2.0,0.0,0.0
134,133.0,1.0,0.0,0.0
135,132.0,3.0,0.0,0.0
136,114.0,3.0,0.0,0.0
137,120.0,3.0,0.0,0.0
138,130.0,1.0,0.0,0.0
139,124.0,3.0,0.0,0.0
140,128.0,0.0,0.0,0.0
141,136.0,3.0,0.0,0.0
142,121.0,0.0,0.0,0.0
143,101.0,2.0,0.0,0.0
144,120.0,3.0,0.0,0.0
145,103.0,1.0,0.0,0.0
146,141.0,1.0,0.0,0.0
147,138.0,2.0,0.0,0.0
148,96.0,2.0,0.0,0.0
149,111.0,1.0,0.0,0.0
150,110.0,1.0,0.0,0.0
151,102.0,3.0,0.0,0.0
152,103.0,2.0,0.0,0.0
153,94.0,0.0,0.0,0.0
154,140.0,3.0,0.0,0.0
155,101.0,1.0,0.0,0.0
156,109.0,0.0,0.0,0.0
157,124.0,2.0,0.0,0.0
158,126.0,3.0,0.0,0.0
159,124.0,2.0,0.0,0.0
160,120.0,1.0,0.0,0.0
161,117.0,3.0,0.0,0.0
162,112.0,3.0,0.0,0.0
163,118.0,2.0,0.0,0.0
164,130.0,3.0,0.0,0.0
165,99.0,2.0,0.0,0.0
166,111.0,3.0,0.0,0.0
167,120.0,2.0,0.0,0.0
168,102.0,2.0,0.0,0.0
169,115.0,1.0,0.0,0.0
170,111.0,0.0,0.0,0.0
171,115.0,1.0,0.0,0.0
172,131.0,3.0,0.0,0.0
173,90.0,2.0,0.0,0.0
174,120.0,3.0,0.0,0.0
175,126.0,2.0,0.0,0.0
176,134.0,1.0,0.0,0.0
177,110.0,1.0,0.0,0.0
178,116.0,3.0,0.0,0.0
179,114.0,3.0,0.0,0.0
180,104.0,1.0,0.0,0.0
181,131.0,3.0,0.0,0.0
182,106.0,2.0,0.0,0.0
183,109.0,3.0,0.0,0.0
184,94.0,1.0,0.0,0.0
185,100.0,1.0,0.0,0.0
186,88.0,0.0,0.0,0.0
187,117.0,2.0,0.0,0.0
188,123.0,1.0,0.0,0.0
189,104.0,0.0,0.0,0.0
190,115.0,0.0,0.0,0.0
191,123.0,1.0,0.0,0.0
192,104.0,2.0,0.0,0.0
193,108.0,1.0,0.0,0.0
194,122.0,1.0,0.0,0.0
195,131.0,3.0,0.0,0.0
196,100.0,2.0,0.0,0.0
197,107.0,1.0,0.0,0.0
198,102.0,1.0,0.0,0.0
199,107.0,1.0,0.0,0.0
200,91.0,2.0,0.0,0.0
201,110.0,2.0,0.0,0.0
202,112.0,3.0,0.0,0.0
203,108.0,3.0,0.0,0.0
204,121.0,1.0,0.0,0.0
205,109.0,2.0,0.0,0.0
206,119.0,2.0,0.0,0.0
