episode,ep_length,ep_env_return
1,34.0,2.0
2,33.0,0.0
3,19.0,0.0
4,32.0,2.0
5,37.0,0.0
6,35.0,0.0
7,33.0,3.0
8,29.0,3.0
9,38.0,0.0
10,27.0,1.0
11,37.0,1.0
12,30.0,2.0
13,29.0,1.0
14,32.0,3.0
15,35.0,2.0
16,32.0,0.0
17,27.0,2.0
18,30.0,1.0
19,38.0,0.0
20,35.0,0.0
20,,
21,27.0,3.0
22,33.0,0.0
23,37.0,3.0
24,27.0,1.0
25,38.0,2.0
26,35.0,0.0
27,36.0,0.0
28,38.0,1.0
29,34.0,1.0
30,27.0,3.0
31,35.0,1.0
32,37.0,1.0
33,35.0,0.0
34,27.0,3.0
35,32.0,2.0
36,26.0,3.0
37,35.0,1.0
38,42.0,3.0
39,31.0,3.0
40,41.0,3.0
40,,
41,31.0,3.0
42,28.0,1.0
43,35.0,0.0
44,25.0,3.0
45,31.0,3.0
46,42.0,3.0
47,36.0,2.0
48,27.0,2.0
49,40.0,0.0
50,38.0,0.0
51,33.0,1.0
52,24.0,0.0
53,26.0,2.0
54,38.0,3.0
55,30.0,3.0
56,29.0,1.0
57,33.0,2.0
58,30.0,2.0
59,29.0,1.0
60,31.0,1.0
60,,
61,30.0,1.0
62,31.0,0.0
63,32.0,3.0
64,30.0,1.0
65,37.0,2.0
66,34.0,3.0
67,36.0,1.0
68,38.0,3.0
69,36.0,1.0
70,32.0,2.0
71,31.0,0.0
72,28.0,2.0
73,34.0,1.0
74,39.0,3.0
75,35.0,3.0
76,33.0,0.0
77,36.0,0.0
78,35.0,1.0
79,37.0,1.0
80,29.0,2.0
80,,
81,34.0,0.0
82,31.0,2.0
83,29.0,0.0
84,34.0,2.0
85,30.0,2.0
86,33.0,1.0
87,15.0,0.0
88,30.0,0.0
89,36.0,2.0
90,26.0,0.0
91,36.0,0.0
92,24.0,2.0
93,38.0,1.0
94,33.0,3.0
95,36.0,2.0
96,25.0,3.0
97,34.0,2.0
98,35.0,2.0
99,42.0,3.0
100,29.0,2.0
100,,
101,34.0,2.0
102,33.0,3.0
103,37.0,3.0
104,36.0,3.0
105,30.0,2.0
106,31.0,2.0
107,38.0,1.0
108,33.0,2.0
109,34.0,1.0
110,38.0,2.0
111,24.0,0.0
112,40.0,1.0
113,30.0,3.0
114,40.0,2.0
