episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon
1,31.0,1.0,0.0,0.0,1.5,0.0,0.0,1.0
2,38.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
3,32.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
4,36.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9970040467617006
5,35.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9865887180738979
6,33.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9768682274509316
7,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9678241165619136
8,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9591514839486444
9,39.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9479931413630835
10,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.939498213313401
11,27.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9319178824706209
12,33.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9227360431976
13,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9147418655387607
14,37.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9046428690433931
15,38.0,1.0,0.0,0.0,1.5,0.0,0.0,0.894386971578094
16,36.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8847781320323411
17,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8771128049561252
18,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8689922568133112
19,33.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8604304002574455
20,33.0,3.0,0.0,0.0,1.5,0.0,0.0,0.851952900480491
21,35.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8430528669110664
22,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8352476549086819
23,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8277630345854666
24,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8198533501819883
25,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8125066775983943
26,37.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8035363851053354
27,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.7963359281832982
28,35.0,0.0,0.0,0.0,1.5,0.0,0.0,0.788016904338937
